Package,LibPath,Version,Priority,Built
processx,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,3.7.0,NA,4.2.0
profvis,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,0.3.7,NA,4.2.0
progress,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,1.2.2,NA,4.2.0
promises,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,1.2.0.1,NA,4.2.0
ps,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,1.7.1,NA,4.2.0
purrr,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,0.3.4,NA,4.2.0
R6,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,2.5.1,NA,4.2.0
ragg,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,1.2.2,NA,4.2.0
rappdirs,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,0.3.3,NA,4.2.0
rcmdcheck,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,1.4.0,NA,4.2.0
RColorBrewer,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,1.1-3,NA,4.2.0
Rcpp,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,1.0.9,NA,4.2.0
readr,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,2.1.2,NA,4.2.0
readxl,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,1.4.0,NA,4.2.0
rematch,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,1.0.1,NA,4.2.0
rematch2,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,2.1.2,NA,4.2.0
remotes,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,2.4.2,NA,4.2.0
reprex,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,2.0.1,NA,4.2.0
rlang,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,1.0.4,NA,4.2.0
rmarkdown,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,2.14,NA,4.2.0
roxygen2,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,7.2.1,NA,4.2.0
rpart,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,4.1.16,recommended,4.2.1
rprojroot,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,2.0.3,NA,4.2.0
rstudioapi,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,0.13,NA,4.2.0
rversions,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,2.1.1,NA,4.2.0
rvest,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,1.0.2,NA,4.2.0
sass,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,0.4.2,NA,4.2.0
scales,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,1.2.0,NA,4.2.0
selectr,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,0.4-2,NA,4.2.0
sessioninfo,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,1.2.2,NA,4.2.0
shiny,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,1.7.2,NA,4.2.0
sourcetools,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,0.1.7,NA,4.2.0
spatial,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,7.3-15,recommended,4.2.1
splines,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,4.2.1,base,4.2.1
stats,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,4.2.1,base,4.2.1
stats4,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,4.2.1,base,4.2.1
stringi,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,1.7.8,NA,4.2.0
stringr,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,1.4.0,NA,4.2.0
survival,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,3.3-1,recommended,4.2.1
sys,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,3.4,NA,4.2.0
systemfonts,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,1.0.4,NA,4.2.0
tcltk,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,4.2.1,base,4.2.1
testthat,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,3.1.4,NA,4.2.0
textshaping,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,0.3.6,NA,4.2.0
tibble,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,3.1.8,NA,4.2.0
tidyr,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,1.2.0,NA,4.2.0
tidyselect,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,1.1.2,NA,4.2.0
tidyverse,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,1.3.2,NA,4.2.0
tinytex,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,0.40,NA,4.2.0
tools,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,4.2.1,base,4.2.1
tzdb,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,0.3.0,NA,4.2.0
urlchecker,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,1.0.1,NA,4.2.0
usethis,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,2.1.6,NA,4.2.0
utf8,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,1.2.2,NA,4.2.0
utils,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,4.2.1,base,4.2.1
uuid,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,1.1-0,NA,4.2.0
vctrs,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,0.4.1,NA,4.2.0
viridisLite,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,0.4.0,NA,4.2.0
vroom,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,1.5.7,NA,4.2.0
waldo,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,0.4.0,NA,4.2.0
whisker,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,0.4,NA,4.2.0
withr,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,2.5.0,NA,4.2.0
xfun,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,0.31,NA,4.2.0
xml2,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,1.3.3,NA,4.2.0
xopen,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,1.0.0,NA,4.2.0
xtable,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,1.8-4,NA,4.2.0
yaml,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,2.3.5,NA,4.2.0
zip,/Library/Frameworks/R.framework/Versions/4.2/Resources/library,2.2.0,NA,4.2.0
